# a0,a1,a2,a3,a4,a5,a6,a7,a8
-3.763796389102935791e-02,1.352142989635467529e-01,6.959818303585052490e-02,2.959754504263401031e-02,-1.031944081187248230e-01,-1.032016426324844360e-01,-1.325749158859252930e-01,1.098528429865837097e-01,3.033450432121753693e-02
2.478380873799324036e-02,-8.610352873802185059e-03,2.105711400508880615e-01,1.293303370475769043e-01,-1.894926726818084717e-01,-1.986541450023651123e-01,-2.275535613298416138e-01,5.112551525235176086e-02,3.776143491268157959e-02
4.367314279079437256e-03,-7.124160975217819214e-02,2.441270053386688232e-01,2.117849886417388916e-02,-2.518492937088012695e-01,-2.387455999851226807e-01,-2.407325655221939087e-01,1.366783082485198975e-01,-5.233643203973770142e-02
8.637646213173866272e-03,-4.351723939180374146e-02,1.080621331930160522e-01,5.344195291399955750e-02,-3.506920635700225830e-01,-3.692301213741302490e-01,-1.060668975114822388e-01,2.763679027557373047e-01,4.018276929855346680e-02
-4.997822642326354980e-02,-1.642155945301055908e-01,1.633320450782775879e-01,3.548770025372505188e-02,-4.640806019306182861e-01,-3.706770539283752441e-01,-2.457503378391265869e-01,3.991640210151672363e-01,-3.218323737382888794e-02
-1.221541315317153931e-03,-2.207022756338119507e-01,1.693524569272994995e-01,4.950078576803207397e-02,-5.586242675781250000e-01,-2.298016697168350220e-01,-1.632104814052581787e-01,5.310137271881103516e-01,8.626496791839599609e-02
2.814845182001590729e-02,-9.414000809192657471e-02,4.590021073818206787e-02,-4.170435667037963867e-02,-6.950560808181762695e-01,-2.822025716304779053e-01,-1.966072916984558105e-01,4.624184370040893555e-01,1.848862171173095703e-01
-1.482555083930492401e-02,-1.598596572875976562e-01,5.870903655886650085e-02,-1.494270861148834229e-01,-6.043969988822937012e-01,-4.098373651504516602e-01,-5.054120719432830811e-02,5.440918803215026855e-01,9.450092166662216187e-02
-1.631689220666885376e-01,-6.522122770547866821e-02,1.207662373781204224e-01,-8.072493225336074829e-02,-5.230159163475036621e-01,-5.376240015029907227e-01,-9.300148487091064453e-02,4.288525879383087158e-01,2.034319490194320679e-01
-1.261794865131378174e-01,-1.159518212080001831e-01,-1.016625761985778809e-02,-1.374302357435226440e-01,-5.754609107971191406e-01,-4.687421321868896484e-01,-5.173424258828163147e-02,5.450164079666137695e-01,1.950964331626892090e-01
-2.403012216091156006e-01,-5.197838693857192993e-02,6.806925684213638306e-02,-1.190470755100250244e-01,-4.941707551479339600e-01,-4.706034660339355469e-01,-4.491439461708068848e-02,5.232787132263183594e-01,5.272217094898223877e-02
-3.579337894916534424e-01,-1.925496459007263184e-01,1.089923828840255737e-01,-1.747402846813201904e-01,-4.915995597839355469e-01,-3.483335375785827637e-01,-1.201267242431640625e-01,4.963935911655426025e-01,1.293875128030776978e-01
-4.392943382263183594e-01,-3.194556832313537598e-01,4.591781646013259888e-02,-2.763738930225372314e-01,-3.626902699470520020e-01,-2.558974325656890869e-01,-8.010560274124145508e-02,6.078317761421203613e-01,2.204891443252563477e-01
-5.333232879638671875e-01,-2.016879916191101074e-01,5.772048979997634888e-02,-1.841418445110321045e-01,-2.438628822565078735e-01,-3.104963898658752441e-01,-1.970900297164916992e-01,5.262123346328735352e-01,1.986214816570281982e-01
-4.379188418388366699e-01,-9.346881508827209473e-02,-9.019387513399124146e-02,-1.809176504611968994e-01,-2.686395943164825439e-01,-3.938640356063842773e-01,-3.111304044723510742e-01,4.774968922138214111e-01,3.314943909645080566e-01
-4.909579753875732422e-01,-8.783163130283355713e-02,-2.928818762302398682e-02,-2.218287736177444458e-01,-1.271049678325653076e-01,-2.551298439502716064e-01,-3.855957090854644775e-01,4.766714572906494141e-01,2.717578709125518799e-01
-5.555058121681213379e-01,-2.267655432224273682e-01,3.581114113330841064e-03,-2.210250645875930786e-01,-2.616613507270812988e-01,-3.215359151363372803e-01,-2.631159424781799316e-01,3.985400199890136719e-01,1.652263402938842773e-01
-5.586699843406677246e-01,-8.107040822505950928e-02,-7.380230724811553955e-02,-1.693844050168991089e-01,-1.831754744052886963e-01,-4.002446532249450684e-01,-1.946510374546051025e-01,3.588749468326568604e-01,2.049180865287780762e-01
-5.186110734939575195e-01,-7.033800333738327026e-02,-1.967153847217559814e-01,-6.879365444183349609e-02,-2.369414567947387695e-01,-4.942891001701354980e-01,-3.324185013771057129e-01,3.861428201198577881e-01,2.581873834133148193e-01
-6.636347174644470215e-01,-6.671008467674255371e-02,-2.787666618824005127e-01,-2.524181827902793884e-02,-3.346315324306488037e-01,-4.370077848434448242e-01,-3.663978874683380127e-01,5.171618461608886719e-01,1.494436562061309814e-01
-7.113147974014282227e-01,-1.826680302619934082e-01,-1.513585746288299561e-01,8.795998990535736084e-02,-4.072490334510803223e-01,-3.890125751495361328e-01,-2.712312340736389160e-01,5.337221026420593262e-01,1.583388298749923706e-01
-7.887591123580932617e-01,-3.047372102737426758e-01,-3.219384700059890747e-02,2.080854177474975586e-01,-3.673186004161834717e-01,-4.373036324977874756e-01,-3.164683580398559570e-01,6.015087962150573730e-01,2.774718999862670898e-01
-6.726331710815429688e-01,-2.207745462656021118e-01,1.041564717888832092e-02,8.332740515470504761e-02,-4.688299894332885742e-01,-3.177373707294464111e-01,-2.845396399497985840e-01,4.542679190635681152e-01,1.579133570194244385e-01
-6.235826611518859863e-01,-3.692560791969299316e-01,-9.134194254875183105e-02,9.794753789901733398e-02,-4.112614393234252930e-01,-2.721489965915679932e-01,-3.672588467597961426e-01,5.179216861724853516e-01,7.908808439970016479e-02
-6.759627461433410645e-01,-2.953086495399475098e-01,-4.645207151770591736e-02,2.027145624160766602e-01,-3.639775812625885010e-01,-2.516564130783081055e-01,-4.891564249992370605e-01,4.782364368438720703e-01,8.648797869682312012e-03
-7.527658343315124512e-01,-1.534054875373840332e-01,-7.852275669574737549e-02,3.203285336494445801e-01,-3.246359825134277344e-01,-1.632130146026611328e-01,-4.883652925491333008e-01,5.013076066970825195e-01,6.404106039553880692e-03
-8.441929221153259277e-01,-8.666985481977462769e-02,-1.442910432815551758e-01,1.776233166456222534e-01,-2.809942960739135742e-01,-2.600798010826110840e-01,-3.562276959419250488e-01,6.374861598014831543e-01,1.308634281158447266e-01
-8.831453323364257812e-01,-2.320328652858734131e-01,-1.579546928405761719e-02,1.560785621404647827e-01,-1.409978568553924561e-01,-1.209938079118728638e-01,-2.503248453140258789e-01,5.758208036422729492e-01,9.639275074005126953e-02
-7.778043150901794434e-01,-2.869562506675720215e-01,-1.149476468563079834e-01,1.731189489364624023e-01,-1.015143096446990967e-02,-6.218487024307250977e-02,-2.293064892292022705e-01,4.549737572669982910e-01,1.308949142694473267e-01
-6.307881474494934082e-01,-3.949310481548309326e-01,-1.094487532973289490e-01,2.863308787345886230e-01,6.207915395498275757e-02,-3.080148249864578247e-03,-1.685612648725509644e-01,4.128211140632629395e-01,6.897246837615966797e-02
-5.379797816276550293e-01,-3.018970191478729248e-01,6.729438900947570801e-04,4.103030562400817871e-01,6.548187136650085449e-02,-2.625259803608059883e-03,-7.907271385192871094e-02,4.578102827072143555e-01,1.295625269412994385e-01
-4.492419958114624023e-01,-1.848954260349273682e-01,-4.792850837111473083e-02,3.729779422283172607e-01,-5.632354319095611572e-02,2.085878141224384308e-02,-2.182900309562683105e-01,4.474896788597106934e-01,1.423559188842773438e-01
-5.132796168327331543e-01,-1.576454490423202515e-01,-1.887784302234649658e-01,2.341824024915695190e-01,4.045662283897399902e-02,-2.108402736485004425e-02,-3.301718831062316895e-01,4.541626572608947754e-01,2.233539819717407227e-01
-5.985333323478698730e-01,-1.207783073186874390e-01,-3.131741881370544434e-01,9.968692064285278320e-02,4.986301064491271973e-02,-8.893490768969058990e-03,-2.889429032802581787e-01,5.219900608062744141e-01,3.661096096038818359e-01
-5.936432480812072754e-01,-1.738913655281066895e-01,-2.246183305978775024e-01,3.093659877777099609e-02,3.155443817377090454e-02,-1.353565752506256104e-01,-4.313376843929290771e-01,6.607846021652221680e-01,4.669036567211151123e-01
-5.348509550094604492e-01,-2.012054771184921265e-01,-3.226300477981567383e-01,-7.213228940963745117e-02,-4.337269067764282227e-02,-1.205885782837867737e-01,-3.669589161872863770e-01,7.088438272476196289e-01,4.008838236331939697e-01
-3.983913660049438477e-01,-1.298364102840423584e-01,-3.063238263130187988e-01,-3.861606493592262268e-02,-6.749267131090164185e-02,-1.962692737579345703e-01,-4.101670980453491211e-01,7.861976623535156250e-01,2.552018761634826660e-01
-5.135695934295654297e-01,-2.660356163978576660e-01,-4.441052079200744629e-01,6.802211701869964600e-02,-6.395313888788223267e-03,-2.040171325206756592e-01,-5.308168530464172363e-01,7.836824059486389160e-01,2.472434043884277344e-01
-6.116090416908264160e-01,-2.858801186084747314e-01,-4.745537936687469482e-01,1.027771458029747009e-01,3.413278236985206604e-02,-3.404259085655212402e-01,-5.684330463409423828e-01,8.214403986930847168e-01,2.481842786073684692e-01
-5.046620965003967285e-01,-2.382720261812210083e-01,-5.756734609603881836e-01,-2.605222910642623901e-02,7.685856521129608154e-02,-4.824725091457366943e-01,-5.427003502845764160e-01,9.535094499588012695e-01,2.708265185356140137e-01
