# s0,s1,s2,s3,s4,s5,s6,s7,s8
0.000000000000000000e+00,0.000000000000000000e+00,3.500000014901161194e-02,1.000000000000000000e+00,0.000000000000000000e+00,3.000000119209289551e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500613871030509472e-03,4.283012822270393372e-03,4.605294391512870789e-02,9.423906803131103516e-01,3.245723620057106018e-02,2.299791872501373291e-01,3.001227676868438721e-01,8.566025495529174805e-01,2.210588693618774414e+00
2.912880852818489075e-03,8.392638526856899261e-03,5.768522992730140686e-02,9.529286623001098633e-01,6.608909368515014648e-02,2.148167043924331665e-01,2.824533879756927490e-01,8.219251036643981934e-01,2.326457500457763672e+00
4.231781233102083206e-03,1.170498877763748169e-02,6.988278031349182129e-02,9.582270979881286621e-01,9.610006958246231079e-02,2.106294035911560059e-01,2.637800574302673340e-01,6.624701619148254395e-01,2.439509391784667969e+00
5.619792267680168152e-03,1.375001017004251480e-02,8.300257474184036255e-02,9.620239734649658203e-01,1.192093789577484131e-01,2.054702192544937134e-01,2.776022255420684814e-01,4.090041518211364746e-01,2.623959779739379883e+00
6.993154529482126236e-03,1.572202891111373901e-02,9.593950957059860229e-02,9.627152681350708008e-01,1.413867920637130737e-01,2.061354666948318481e-01,2.746724486351013184e-01,3.944038152694702148e-01,2.587385892868041992e+00
8.444014005362987518e-03,1.759159378707408905e-02,1.088620945811271667e-01,9.634432196617126465e-01,1.599397212266921997e-01,2.015690952539443970e-01,2.901719212532043457e-01,3.739129602909088135e-01,2.584517002105712891e+00
9.911301545798778534e-03,1.943191140890121460e-02,1.218217238783836365e-01,9.663086533546447754e-01,1.767244786024093628e-01,1.820881515741348267e-01,2.934575080871582031e-01,3.680636286735534668e-01,2.591925859451293945e+00
1.156548596918582916e-02,2.123950608074665070e-02,1.346754431724548340e-01,9.687652587890625000e-01,1.922062933444976807e-01,1.557696014642715454e-01,3.308368921279907227e-01,3.615190088748931885e-01,2.570744752883911133e+00
1.288927998393774033e-02,2.320679835975170135e-02,1.474325209856033325e-01,9.672027826309204102e-01,2.076494544744491577e-01,1.452120095491409302e-01,2.647587060928344727e-01,3.934582769870758057e-01,2.551415443420410156e+00
1.438160613179206848e-02,2.514554187655448914e-02,1.600712835788726807e-01,9.650279283523559570e-01,2.234465479850769043e-01,1.288829743862152100e-01,2.984653115272521973e-01,3.877487182617187500e-01,2.527751445770263672e+00
1.591039262712001801e-02,2.709134109318256378e-02,1.726212501525878906e-01,9.619163870811462402e-01,2.388988882303237915e-01,1.101395487785339355e-01,3.057574331760406494e-01,3.891598880290985107e-01,2.509993314743041992e+00
1.716525107622146606e-02,2.907238714396953583e-02,1.851217746734619141e-01,9.565904140472412109e-01,2.532804906368255615e-01,9.499669075012207031e-02,2.509716451168060303e-01,3.962090015411376953e-01,2.500104665756225586e+00
1.862125657498836517e-02,3.097788244485855103e-02,1.975475251674652100e-01,9.514185786247253418e-01,2.673965990543365479e-01,6.914079189300537109e-02,2.912011444568634033e-01,3.810991644859313965e-01,2.485150098800659180e+00
2.006136067211627960e-02,3.289234265685081482e-02,2.098911553621292114e-01,9.447095990180969238e-01,2.811912298202514648e-01,4.333720728754997253e-02,2.880205810070037842e-01,3.828923702239990234e-01,2.468728542327880859e+00
2.131327427923679352e-02,3.496184945106506348e-02,2.220254093408584595e-01,9.351332783699035645e-01,2.950177192687988281e-01,3.085606172680854797e-02,2.503829598426818848e-01,4.139010906219482422e-01,2.426849842071533203e+00
2.254746481776237488e-02,3.696385025978088379e-02,2.341102659702301025e-01,9.247384071350097656e-01,3.082053661346435547e-01,1.449952274560928345e-02,2.468380779027938843e-01,4.004000127315521240e-01,2.416970968246459961e+00
2.383212000131607056e-02,3.884992748498916626e-02,2.461860179901123047e-01,9.137381911277770996e-01,3.221274614334106445e-01,-1.435571350157260895e-02,2.569308578968048096e-01,3.772152662277221680e-01,2.415150165557861328e+00
2.502155303955078125e-02,4.071702063083648682e-02,2.581855356693267822e-01,9.009971618652343750e-01,3.357063829898834229e-01,-4.190765321254730225e-02,2.378868162631988525e-01,3.734188675880432129e-01,2.399901151657104492e+00
2.575707063078880310e-02,4.260154068470001221e-02,2.699839770793914795e-01,8.855184912681579590e-01,3.457508087158203125e-01,-5.745840445160865784e-02,1.471033990383148193e-01,3.769043087959289551e-01,2.359690189361572266e+00
2.661787346005439758e-02,4.434972256422042847e-02,2.817089855670928955e-01,8.697817325592041016e-01,3.555186092853546143e-01,-7.816953957080841064e-02,1.721603870391845703e-01,3.496364951133728027e-01,2.345004558563232422e+00
2.755725756287574768e-02,4.593510925769805908e-02,2.933987975120544434e-01,8.531554341316223145e-01,3.655920624732971191e-01,-1.106605753302574158e-01,1.878769993782043457e-01,3.170772492885589600e-01,2.337960720062255859e+00
2.824710682034492493e-02,4.746732115745544434e-02,3.048000037670135498e-01,8.370248675346374512e-01,3.683471977710723877e-01,-1.254657357931137085e-01,1.379696726799011230e-01,3.064424395561218262e-01,2.280240297317504883e+00
2.912082150578498840e-02,4.888089373707771301e-02,3.162102997303009033e-01,8.191939592361450195e-01,3.734263777732849121e-01,-1.560058295726776123e-01,1.747430264949798584e-01,2.827140986919403076e-01,2.282060384750366211e+00
2.990129776298999786e-02,5.020859837532043457e-02,3.275027573108673096e-01,8.004314899444580078e-01,3.769141137599945068e-01,-1.856708675622940063e-01,1.560951769351959229e-01,2.655409872531890869e-01,2.258488893508911133e+00
3.061296977102756500e-02,5.142755061388015747e-02,3.386629819869995117e-01,7.811453938484191895e-01,3.781588375568389893e-01,-2.149253189563751221e-01,1.423345953226089478e-01,2.437905073165893555e-01,2.232044458389282227e+00
3.115119785070419312e-02,5.258720740675926208e-02,3.495248556137084961e-01,7.633914947509765625e-01,3.728514015674591064e-01,-2.323374003171920776e-01,1.076456159353256226e-01,2.319310307502746582e-01,2.172375440597534180e+00
3.181472420692443848e-02,5.361451581120491028e-02,3.604685366153717041e-01,7.422120571136474609e-01,3.722111880779266357e-01,-2.660549879074096680e-01,1.327049434185028076e-01,2.054621875286102295e-01,2.188737630844116211e+00
3.233637660741806030e-02,5.454900488257408142e-02,3.712843954563140869e-01,7.199699282646179199e-01,3.703387081623077393e-01,-2.980589270591735840e-01,1.043304800987243652e-01,1.868976950645446777e-01,2.163172960281372070e+00
3.263062611222267151e-02,5.548852682113647461e-02,3.817621767520904541e-01,6.998127698898315430e-01,3.618613183498382568e-01,-3.162917494773864746e-01,5.885021388530731201e-02,1.879046261310577393e-01,2.095554590225219727e+00
3.290910646319389343e-02,5.624004453420639038e-02,3.921464681625366211e-01,6.790955662727355957e-01,3.526969254016876221e-01,-3.383490145206451416e-01,5.569602921605110168e-02,1.503033041954040527e-01,2.076855897903442383e+00
3.321473300457000732e-02,5.678370222449302673e-02,4.025375247001647949e-01,6.556771397590637207e-01,3.465082347393035889e-01,-3.714056909084320068e-01,6.112541630864143372e-02,1.087312176823616028e-01,2.078213453292846680e+00
3.337204828858375549e-02,5.722842738032341003e-02,4.128825366497039795e-01,6.283534169197082520e-01,3.441719412803649902e-01,-4.090604782104492188e-01,3.146287053823471069e-02,8.894508332014083862e-02,2.069003343582153320e+00
3.326857835054397583e-02,5.769069865345954895e-02,4.228220582008361816e-01,6.048424243927001953e-01,3.329395353794097900e-01,-4.313950538635253906e-01,-2.069357037544250488e-02,9.245447069406509399e-02,1.987902760505676270e+00
3.299437090754508972e-02,5.815387889742851257e-02,4.324530959129333496e-01,5.829560160636901855e-01,3.173834681510925293e-01,-4.468889832496643066e-01,-5.484188720583915710e-02,9.263610094785690308e-02,1.926210761070251465e+00
3.263983502984046936e-02,5.843492969870567322e-02,4.420969188213348389e-01,5.544158816337585449e-01,3.109779655933380127e-01,-4.746909141540527344e-01,-7.090697437524795532e-02,5.620998516678810120e-02,1.928765058517456055e+00
3.211269155144691467e-02,5.858096852898597717e-02,4.516056180000305176e-01,5.214940309524536133e-01,3.090404868125915527e-01,-5.065101981163024902e-01,-1.054291576147079468e-01,2.920818328857421875e-02,1.901737451553344727e+00
3.139426186680793762e-02,5.872017890214920044e-02,4.606370627880096436e-01,4.949367940425872803e-01,2.964140474796295166e-01,-5.250483155250549316e-01,-1.436858922243118286e-01,2.784157916903495789e-02,1.806288242340087891e+00
3.058009035885334015e-02,5.869145691394805908e-02,4.694451093673706055e-01,4.676905274391174316e-01,2.834184169769287109e-01,-5.444926619529724121e-01,-1.628338843584060669e-01,-5.744050722569227219e-03,1.761609315872192383e+00
2.966721542179584503e-02,5.850739032030105591e-02,4.780089259147644043e-01,4.399278461933135986e-01,2.698346972465515137e-01,-5.642884373664855957e-01,-1.825752854347229004e-01,-3.681338950991630554e-02,1.712761282920837402e+00
